Ticker,Original Weight,Original Weight (%)
AAPL,0.0535,5.35
AMZN,0.0922,9.22
AVGO,0.0481,4.81
INTU,0.0368,3.6799999999999997
LLY,0.0292,2.92
META,0.0633,6.329999999999999
MSFT,0.0965,9.65
NFLX,0.0338,3.38
NVDA,0.0981,9.81
V,0.0425,4.25
