Portfolio,Annualised Return (%),Annualised Volatility (%),Sharpe Ratio,Maximum Drawdown (%)
Existing Holdings Sleeve Portfolio,33.22982564169625,24.663164805266366,1.1904322042006141,-37.53301638237573
Full Portfolio,27.472517438204363,18.786812321167538,1.2563343389347037,-25.472265125845805
