Date,AAPL,AMZN,AVGO,INTU,LLY,META,MSFT,NFLX,NVDA,V
2020-02-01,0.8832021896502499,0.9377862798663694,0.893367423234746,0.950022255925171,0.903251156728047,0.9532465490842229,0.9517123377107541,1.0693732384425192,1.1422830955203376,0.9135044337725816
2020-03-01,0.8235386992826331,0.9706280911616808,0.7769693827197165,0.8219113165636397,0.9985604063992971,0.8261106935984068,0.9289827596713093,1.088121952699698,1.115584765835318,0.8109431065062713
2020-04-01,0.9514949030053494,1.2316300990850513,0.9052198960266743,0.9641734192606894,1.113158692605235,1.0138675657826237,1.0556276042070776,1.2166391951120052,1.236961533387337,0.899526757453935
2020-05-01,1.0296743175442802,1.2158837806387204,0.9707069577500431,1.0397073226429077,1.1009936796005375,1.114803553354277,1.079424885858661,1.2162914296597946,1.5024838030111636,0.982674765651696
2020-06-01,1.1846323013906397,1.3734218643735232,1.0518242363589796,1.0607292210175998,1.187395061497448,1.1246101384677265,1.2021043526048598,1.3186126258756732,1.607822010271032,0.9738839482215282
2020-07-01,1.3802527350176335,1.575470929169521,1.066498896359099,1.097185950358711,1.0869386999726225,1.2563518610720825,1.210964191998922,1.4166739716572263,1.7977323729403076,0.9599185387191232
2020-08-01,1.6761507403138283,1.7179896579754388,1.1688561114069393,1.239042283300983,1.0731976166937327,1.4521322890463424,1.3321733426844136,1.534556290083257,2.265128669910117,1.0687667295721834
2020-09-01,1.507013736239014,1.5675305429126105,1.226667412183048,1.1702364473129359,1.0757399653466904,1.297112779689399,1.2453919562290723,1.4489843225874988,2.2915487164127444,1.0096908650061729
2020-10-01,1.4165742927567124,1.511484922115772,1.18793885542559,1.1288739752835275,0.9481221574467852,1.3031053119878593,1.1988519442159873,1.3785969709032186,2.1234152688487837,0.9174924318554306
2020-11-01,1.5491751998344219,1.5771436289243967,1.3644491776968872,1.2650549904448507,1.058516020890814,1.3717498844763032,1.2675371548367051,1.4219479353333129,2.270380555898616,1.0621017594142204
2020-12-01,1.72964822106256,1.6213957289336112,1.4876836179909991,1.3650676821221583,1.2333544048611111,1.3528800874316533,1.3204267105304495,1.5669246756169661,2.2116788498622535,1.1060779749394558
2021-01-01,1.720133435646812,1.5961408492194864,1.543707135538227,1.2981529742877542,1.5191945617339884,1.279431313422356,1.377062217863768,1.5427569664461611,2.201274916231415,0.9772304639726815
2021-02-01,1.5806556147930235,1.5397517248671733,1.6100810996599602,1.4042944041530452,1.4966953232385307,1.2759151430372622,1.3795556710352563,1.5614767186726723,2.3240927757556205,1.0740179692021135
2021-03-01,1.5946366617118797,1.5403241801511307,1.5888019944892944,1.3788104031722834,1.3703954564562353,1.4587193675600314,1.4029044490426057,1.5116636840565238,2.262027036094481,1.072342706944798
2021-04-01,1.7161760146336629,1.7261839117428308,1.575458124912726,1.483554725011385,1.3406870729883136,1.6100242959642825,1.5005488965485658,1.4879307369720332,2.5444241742347717,1.1829044036587504
2021-05-01,1.6267508775862303,1.604539290858863,1.6311624682591306,1.5827588340215206,1.4651686234009733,1.628101974044241,1.485673147197382,1.4570401887970665,2.753782755000266,1.1511994941902595
2021-06-01,1.791014220537358,1.7126130145308385,1.6467372082420915,1.7668834562849063,1.691056107089952,1.7221037978981573,1.615660763198024,1.5306442051011424,3.390843138074814,1.1859412825188889
2021-07-01,1.9073990070247795,1.6565724072754995,1.6894204964294572,1.9103474016861295,1.7940578762276582,1.76464759350831,1.6992169921188256,1.4998116915296122,3.306246671379817,1.2496965766923755
2021-08-01,1.9854675728717657,1.727861625039206,1.7305250954355615,2.043000221535731,1.9030276761752087,1.87895599634437,1.8004270435964465,1.649395826615598,3.7955958971626163,1.1620013479066316
