Date,CAT,COST,JNJ,JPM,KO,NEE,PG,RTX,UNH,XOM
2020-01-01,115.45406341552734,278.5392761230469,125.07469177246094,111.10238647460938,48.250057220458984,57.418731689453125,105.76223754882812,81.66339111328125,245.155517578125,46.70513153076172
2020-02-01,109.97050476074219,256.3123779296875,112.98477172851562,98.08789825439453,44.19340896606445,54.113197326660156,96.666748046875,71.00149536132812,229.41769409179688,38.67533874511719
2020-03-01,102.7122802734375,260.49798583984375,110.8727798461914,76.05593872070312,36.559326171875,51.783180236816406,93.90922546386719,51.53107833862305,224.39674377441406,28.957721710205078
2020-04-01,103.01323699951172,276.82427978515625,126.86151123046875,80.89654541015625,38.246803283691406,49.738712310791016,100.62801361083984,56.25813674926758,264.3097839355469,35.440223693847656
2020-05-01,107.30877685546875,282.4656677246094,125.77078247070312,83.06021881103516,38.90523147583008,54.99837875366211,99.62325286865234,56.006385803222656,275.4978332519531,34.67758560180664
2020-06-01,112.99889373779297,277.6490478515625,119.72946166992188,80.2861328125,37.238338470458984,51.68632888793945,102.76007080078125,53.962860107421875,266.55096435546875,34.766876220703125
2020-07-01,118.69796752929688,298.0874328613281,124.09703063964844,82.48832702636719,39.72965621948242,60.741424560546875,112.68632507324219,49.63671112060547,274.8056335449219,32.714447021484375
2020-08-01,128.0735626220703,319.0366516113281,130.6100616455078,86.35179901123047,41.65557861328125,60.410362243652344,119.63285827636719,53.41990661621094,283.6729736328125,31.050748825073242
2020-09-01,134.22933959960938,325.7723693847656,127.59696197509766,82.97323608398438,41.52101135253906,60.3648681640625,120.20367431640625,50.76492691040039,282.9649658203125,27.215856552124023
2020-10-01,141.3390350341797,328.17657470703125,117.50953674316406,84.4987564086914,40.7464714050293,63.68804168701172,118.56917572021484,47.92406463623047,278.08880615234375,25.860210418701172
2020-11-01,157.17861938476562,360.2057800292969,123.9973373413086,102.54122161865234,43.74776077270508,64.01860046386719,120.76673126220703,63.27530288696289,306.52276611328125,30.2283878326416
2020-12-01,164.8116455078125,346.42364501953125,135.81910705566406,110.5354232788086,46.859275817871094,67.43033599853516,121.00154113769531,63.54841995239258,319.59149169921875,33.46646499633789
2021-01-01,165.55409240722656,332.5231018066406,140.7813720703125,111.92723083496094,41.142860412597656,70.68167114257812,111.49640655517578,59.300601959228516,305.10125732421875,36.4055290222168
2021-02-01,196.5105438232422,312.3035888671875,136.75115966796875,128.94192504882812,41.86062240600586,64.22271728515625,108.07444763183594,63.9749870300293,303.8573913574219,44.142921447753906
2021-03-01,211.0657958984375,333.2269592285156,142.71865844726562,133.37521362304688,45.039241790771484,66.43109130859375,118.485595703125,69.08966827392578,340.3052673339844,46.09807205200195
2021-04-01,207.64315795898438,351.7658386230469,141.31187438964844,134.75949096679688,46.50834655761719,68.10045623779297,116.72706604003906,74.42762756347656,366.0491027832031,47.26228713989258
2021-05-01,220.4414520263672,358.37420654296875,146.97372436523438,144.7451934814453,47.637020111083984,64.33124542236328,118.73296356201172,79.31854248046875,378.09161376953125,48.1953125
2021-06-01,198.99896240234375,374.85906982421875,143.94984436035156,137.07785034179688,46.62034225463867,64.38396453857422,118.80342102050781,76.73776245117188,367.55438232421875,52.84305953979492
2021-07-01,189.05035400390625,407.1181945800781,150.46839904785156,133.76417541503906,49.50641632080078,68.80488586425781,125.2309341430664,78.21298217773438,379.752685546875,48.22724151611328
2021-08-01,193.85243225097656,432.3417053222656,151.28103637695312,141.77671813964844,48.88140869140625,74.1838607788086,126.16030883789062,76.24305725097656,383.4837951660156,45.67221450805664
2021-09-01,176.47769165039062,426.5137939453125,141.95733642578125,145.09181213378906,45.54799270629883,69.6697998046875,123.86552429199219,77.78656005859375,359.9645690917969,50.02019500732422
2021-10-01,187.54605102539062,466.5596923828125,143.1703643798828,150.58734130859375,49.302791595458984,75.71224212646484,126.69194793701172,80.41082000732422,425.6915283203125,54.82493209838867
2021-11-01,178.72775268554688,512.7965698242188,137.0613250732422,141.63235473632812,45.87425994873047,76.9988021850586,128.89483642578125,73.22578430175781,410.66888427734375,50.88759231567383
2021-12-01,191.10516357421875,539.720947265625,151.3542022705078,141.20433044433594,52.18833923339844,83.20405578613281,145.83355712890625,78.33386993408203,464.21429443359375,52.734947204589844
2022-01-01,186.31687927246094,480.23455810546875,152.43362426757812,132.510009765625,53.774879455566406,69.62188720703125,143.04315185546875,82.09312438964844,438.30255126953125,65.46408081054688
2022-02-01,174.23548889160156,493.6587829589844,145.6033477783203,127.20426177978516,54.8590202331543,69.75556945800781,139.7282257080078,93.48001098632812,441.3631896972656,67.58415985107422
2022-03-01,206.968505859375,548.2988891601562,157.81082153320312,122.28829193115234,54.64747619628906,75.91313171386719,136.9585723876953,90.67725372314453,472.99053955078125,71.96703338623047
2022-04-01,195.56207275390625,506.2803039550781,160.68692016601562,107.07404327392578,57.383888244628906,63.64481735229492,143.90504455566406,86.86968994140625,473.06927490234375,74.28490447998047
2022-05-01,201.45584106445312,444.6363525390625,159.8588104248047,119.49853515625,56.291446685791016,67.82984161376953,133.29229736328125,87.06188201904297,462.1204528808594,83.65220642089844
2022-06-01,166.83921813964844,457.0917053222656,159.07582092285156,101.76760864257812,55.8740119934082,69.81141662597656,129.60574340820312,88.49358367919922,477.7948913574219,75.38912963867188
2022-07-01,185.0294952392578,516.2406005859375,156.39633178710938,104.25283813476562,57.40486526489258,76.14727020263672,125.20713806152344,85.82339477539062,506.3009033203125,85.32777404785156
2022-08-01,173.59315490722656,498.7887878417969,144.5850372314453,103.68891143798828,55.20420837402344,76.66099548339844,125.13998413085938,82.63758087158203,484.8200378417969,84.14816284179688
2022-09-01,154.2047576904297,451.1836242675781,147.37890625,95.27381134033203,50.114078521728516,71.01033782958984,114.53472900390625,75.81178283691406,471.4796142578125,77.60602569580078
2022-10-01,203.4322967529297,479.10858154296875,156.9509735107422,114.7662124633789,53.93065643310547,70.18621063232422,122.17342376708984,87.81425476074219,519.8860473632812,98.494140625
2022-11-01,223.668212890625,516.1029663085938,160.58673095703125,127.10736083984375,57.31878662109375,76.70674133300781,136.27919006347656,91.42609405517578,512.9652709960938,98.96524810791016
2022-12-01,226.64846801757812,436.90509033203125,160.39743041992188,123.3543472290039,57.72529220581055,76.09503936767578,138.47189331054688,94.0115737915039,496.5020751953125,98.83009338378906
