Date,AAPL,AMZN,AVGO,INTU,LLY,META,MSFT,NFLX,NVDA,V
2020-01-01,74.60858154296875,100.43599700927734,26.198284149169922,268.3460693359375,129.6939239501953,200.3378448486328,161.26214599609375,34.50899887084961,5.884145736694336,190.31790161132812
2020-02-01,65.89446258544922,94.1875,23.404693603515625,254.9347381591797,117.14618682861328,190.9713592529297,153.4751739501953,36.90299987792969,6.721360206604004,173.8562469482422
2020-03-01,61.44305419921875,97.48600006103516,20.35526466369629,220.55667114257812,129.50721740722656,165.50123596191406,149.80975341796875,37.54999923706055,6.564263343811035,154.3369903564453
2020-04-01,70.98968505859375,123.69999694824219,23.715208053588867,258.7321472167969,144.3699188232422,203.1160430908203,170.23277282714844,41.98500061035156,7.278461933135986,171.196044921875
2020-05-01,76.82254028320312,122.11849975585938,25.430856704711914,279.0013732910156,142.7921905517578,223.33734130859375,174.07037353515625,41.972999572753906,8.84083366394043,187.02059936523438
2020-06-01,88.38373565673828,137.9409942626953,27.55599021911621,284.64251708984375,153.9979248046875,225.30197143554688,193.8539276123047,45.50400161743164,9.46065902709961,185.34754943847656
2020-07-01,102.97869873046875,158.23399353027344,27.940441131591797,294.425537109375,140.96934509277344,251.69482421875,195.28268432617188,48.88800048828125,10.578119277954102,182.68968200683594
2020-08-01,125.05522918701172,172.54800415039062,30.622024536132812,332.49212646484375,139.1872100830078,290.91705322265625,214.82913208007812,52.95600128173828,13.328347206115723,203.4054412841797
2020-09-01,112.4361572265625,157.43649291992188,32.13658142089844,314.0283508300781,139.51693725585938,259.86077880859375,200.83457946777344,50.00299835205078,13.483806610107422,192.16224670410156
2020-10-01,105.6885986328125,151.8074951171875,31.121959686279297,302.92889404296875,122.96568298339844,261.0613098144531,193.32943725585938,47.57400131225586,12.494484901428223,174.615234375
2020-11-01,115.5817642211914,158.40199279785156,35.7462272644043,339.4725341796875,137.28309631347656,274.81341552734375,204.40576171875,49.06999969482422,13.35925006866455,202.13697814941406
2020-12-01,129.04660034179688,162.84649658203125,38.97475814819336,366.310546875,159.9585723876953,271.0330810546875,212.93484497070312,54.073001861572266,13.013840675354004,210.50643920898438
2021-01-01,128.3367156982422,160.30999755859375,40.44247817993164,348.354248046875,197.03030395507812,256.3185119628906,222.06800842285156,53.23899841308594,12.952622413635254,185.9844512939453
2021-02-01,117.93047332763672,154.64649963378906,42.18136215209961,376.8368835449219,194.11228942871094,255.6140899658203,222.47010803222656,53.8849983215332,13.675300598144531,204.40484619140625
2021-03-01,118.97357940673828,154.70399475097656,41.62388610839844,369.99835205078125,177.73196411132812,292.2366943359375,226.23538208007812,52.16600036621094,13.310096740722656,204.0860137939453
2021-04-01,128.0414581298828,173.37100219726562,41.27429962158203,398.1060791015625,173.87896728515625,322.5487976074219,241.9817352294922,51.34700012207031,14.971762657165527,225.1278839111328
2021-05-01,121.36957550048828,161.15350341796875,42.73365783691406,424.72711181640625,190.02346801757812,326.1704406738281,239.5828399658203,50.28099822998047,16.203659057617188,219.0938720703125
2021-06-01,133.62503051757812,172.00799560546875,43.14168930053711,474.13623046875,219.3197021484375,345.0025634765625,260.544921875,52.82099914550781,19.95221519470215,225.7058563232422
2021-07-01,142.30833435058594,166.37950134277344,44.259918212890625,512.6342163085938,232.67840576171875,353.52569580078125,274.0193786621094,51.75699996948242,19.454437255859375,237.83963012695312
2021-08-01,148.13291931152344,173.5395050048828,45.336788177490234,548.2310791015625,246.81112670898438,376.4259948730469,290.3407287597656,56.91899871826172,22.333839416503906,221.149658203125
2021-09-01,138.2612762451172,164.2519989013672,44.217063903808594,522.4712524414062,221.4945831298828,336.7474060058594,271.6628112792969,61.034000396728516,20.67229652404785,215.3131561279297
2021-10-01,146.37132263183594,168.6215057373047,48.83420944213867,606.2202758789062,244.2239990234375,321.0505676269531,319.5545654296875,69.03099822998047,25.5130672454834,204.69973754882812
2021-11-01,161.51657104492188,175.35350036621094,50.8558464050293,632.5038452148438,237.7819366455078,321.9336242675781,318.56201171875,64.19000244140625,32.60707092285156,187.30072021484375
2021-12-01,173.7589874267578,166.7169952392578,61.118309020996094,623.6992797851562,265.65631103515625,333.7310791015625,324.6764831542969,60.24399948120117,29.348953247070312,209.8435516357422
2022-01-01,171.02882385253906,149.57350158691406,54.157684326171875,538.379638671875,236.00535583496094,310.82086181640625,300.21368408203125,42.7140007019043,24.437334060668945,219.00384521484375
2022-02-01,161.576171875,153.56300354003906,54.30188751220703,460.5075988769531,240.39093017578125,209.3868408203125,288.44573974609375,39.45199966430664,24.336536407470703,209.27223205566406
2022-03-01,171.0801544189453,162.99749755859375,58.20646667480469,466.7886047363281,276.5678405761719,220.6286163330078,298.2515563964844,37.45899963378906,27.231769561767578,215.0926055908203
2022-04-01,154.46304321289062,124.28150177001953,51.59334182739258,406.51300048828125,282.1306457519531,198.90907287597656,268.466064453125,19.035999298095703,18.513296127319336,206.7127685546875
2022-05-01,145.83111572265625,120.20950317382812,53.98879623413086,402.90185546875,302.7113037109375,192.13223266601562,263.0003967285156,19.743999481201172,18.638065338134766,205.78163146972656
2022-06-01,134.1529541015625,106.20999908447266,45.21107482910156,374.691162109375,314.1871032714844,159.9944305419922,249.02972412109375,17.48699951171875,15.131452560424805,191.32644653320312
2022-07-01,159.45870971679688,134.9499969482422,50.24665451049805,443.44873046875,319.47802734375,157.86119079589844,272.2135925292969,22.489999771118164,18.133825302124023,206.11636352539062
2022-08-01,154.26800537109375,126.7699966430664,46.833885192871094,420.4347229003906,291.8995361328125,161.66134643554688,253.52886962890625,22.356000900268555,15.069755554199219,193.09503173828125
2022-09-01,135.79351806640625,113.0,41.66358947753906,377.1429443359375,314.3572998046875,134.62355041503906,226.3058624267578,23.54400062561035,12.119498252868652,172.9358673095703
2022-10-01,150.6698760986328,102.44000244140625,44.4835205078125,416.26715087890625,352.0198669433594,92.43462371826172,225.55767822265625,29.187999725341797,13.479323387145996,201.66278076171875
2022-11-01,145.45237731933594,96.54000091552734,52.139347076416016,397.6302490234375,360.7598571777344,117.18042755126953,247.91619873046875,30.55299949645996,16.900836944580078,211.24168395996094
2022-12-01,127.8792953491211,84.0,52.905784606933594,379.70916748046875,356.6577453613281,119.40298461914062,233.68666076660156,29.488000869750977,14.598596572875977,202.6989288330078
2023-01-01,142.01266479492188,103.12999725341797,55.81644821166992,412.34173583984375,335.51214599609375,147.81004333496094,241.47230529785156,35.38600158691406,19.516407012939453,224.60208129882812
2023-02-01,145.0834197998047,94.2300033569336,56.701873779296875,398.0335388183594,303.40863037109375,173.5778350830078,243.0411376953125,32.2130012512207,23.191526412963867,214.5822296142578
2023-03-01,162.54518127441406,103.29000091552734,61.210052490234375,435.8152770996094,335.8836975097656,210.2897491455078,281.63043212890625,34.54800033569336,27.74772071838379,220.3986053466797
2023-04-01,167.2569122314453,105.44999694824219,60.20530319213867,433.9775390625,387.1728515625,238.44882202148438,300.1518249511719,32.99300003051758,27.724458694458008,227.50537109375
2023-05-01,174.7188262939453,120.58000183105469,77.6432113647461,410.4342956542969,420.0355529785156,262.6588134765625,320.79302978515625,39.52299880981445,37.800533294677734,216.06805419921875
2023-06-01,191.4645233154297,130.36000061035156,83.35813903808594,448.6946105957031,459.88140869140625,284.7454528808594,333.3891296386719,44.04899978637695,42.264583587646484,232.601318359375
